DR Number,Address,Cross Street,Location 
130100985,ALAMEDA,LOS ANGELES,"(34.0578, -118.2371)"
130100995,ARCADIA,N  SPRING,"(34.0565, -118.2411)"
130101036,4TH,SAN PEDRO,"(34.0454, -118.2422)"
130101050,11TH                         ST,FIGUEROA,"(34.0437, -118.2652)"
130101053,5TH,CROCKER                      ST,"(34.043, -118.242)"
130101058,7TH                          ST,SAN PEDRO,"(34.0407, -118.2468)"
130101099,1ST,FIGUEROA,"(34.0578, -118.252)"
130101103,LOS ANGELES,TEMPLE,"(34.0534, -118.2409)"
130101106,7TH                          ST,MAPLE,"(34.0419, -118.2485)"
130101135,7TH                          ST,MAIN                         ST,"(34.0433, -118.2504)"
130101150,7TH                          ST,SAN JULIAN                   ST,"(34.0407, -118.2468)"
130101165,WASHINGTON                   BL,GRAND                        AV,"(34.0327, -118.2683)"
130101171,7TH                          ST,SAN JULIAN                   ST,"(34.0407, -118.2468)"
130101179,ORD,ALAMEDA                      ST,"(34.0595, -118.2368)"
130101180,ALAMEDA,ORD                          ST,"(34.0595, -118.2368)"
130101189,OLYMPIC                      BL,MAIN,"(34.0396, -118.2558)"
130101194,5TH                          ST,SPRING                       ST,"(34.0474, -118.2496)"
130101209,5TH                          ST,SAN JULIAN                   ST,"(34.0446, -118.245)"
130101211,6TH,STANFORD,"(34.0403, -118.2421)"
130101213,12TH,FIGUEROA,"(34.0423, -118.2678)"
130101214,12TH,FIGUEROA,"(34.0423, -118.2666)"
130101237,6TH                          ST,MAPLE,"(34.0435, -118.2471)"
130101239,4TH,TOWNE,"(34.0439, -118.2399)"
130101242,16TH                         ST,MAPLE,"(34.0319, -118.2594)"
102019318,7TH,HARVARD,"(34.0597, -118.3042)"
130101260,ALAMEDA,LOS ANGELES                  ST,"(34.0578, -118.2371)"
130101261,9TH                          ST,LOS ANGELES                  ST,"(34.0401, -118.2533)"
130101268,6TH,SAN JULIAN,"(34.0423, -118.2452)"
130101275,NEW HIGH,ORD,"(34.0621, -118.2376)"
112004812,KENMORE,BEVERLY,"(34.0763, -118.2966)"
130101297,OLYMPIC                      BL,OLIVE                        ST,"(34.0423, -118.2595)"
130101309,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)"
130101326,5TH                          ST,WALL,"(34.0446, -118.245)"
130101327,6TH                          ST,GLADYS,"(34.0398, -118.2413)"
130101331,4TH                          ST,OMAR                         ST,"(34.0449, -118.2415)"
130101336,CROCKER                      ST,5TH                          ST,"(34.0435, -118.2427)"
130101353,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)"
130101361,7TH,FRANCISCO                    ST,"(34.0499, -118.2614)"
130101368,8TH                          ST,HILL                         ST,"(34.0452, -118.2569)"
130101389,GEORGIA,OLYMPIC,"(34.0459, -118.2657)"
130101390,9TH                          ST,WALL,"(34.0381, -118.2511)"
130101395,4TH                          ST,HEWITT                       ST,"(34.0436, -118.2354)"
130101396,7TH                          ST,SAN PEDRO,"(34.0407, -118.2468)"
130101415,4TH                          ST,FLOWER,"(34.053, -118.2548)"
130104030,7TH                          ST,GRAND,"(34.0473, -118.2566)"
130104053,5TH                          ST,HILL                         ST,"(34.0488, -118.2518)"
130104096,HILL,WASHINGTON,"(34.032, -118.2657)"
130104097,5TH,SAN PEDRO,"(34.0435, -118.2427)"
130104098,6TH,HILL,"(34.0481, -118.2542)"
130104149,LOS ANGELES,WASHINGTON,"(34.0306, -118.2635)"
130104152,HOPE,OLYMPIC,"(34.0437, -118.2617)"
130104154,7TH,LOS ANGELES,"(34.0433, -118.2504)"
130104193,5TH,SAN JULIAN,"(34.0446, -118.245)"
130104231,9TH                          ST,SANTEE                       ST,"(34.0395, -118.2527)"
130104320,CARDINAL,LEROY,"(34.0635, -118.228)"
130104344,BAMBOO,BROADWAY,"(34.0658, -118.2365)"
130104353,6TH                          ST,FIGUEROA,"(34.0509, -118.2585)"
130104354,6TH                          ST,FIGUEROA,"(34.0509, -118.2585)"
130104362,4TH                          ST,WALL,"(34.0464, -118.2447)"
130104411,5TH,MAIN,"(34.0464, -118.248)"
130104427,5TH                          ST,WALL                         ST,"(34.0446, -118.245)"
130104444,1ST,BROADWAY,"(34.0537, -118.2455)"
130104451,7TH,SPRING,"(34.0445, -118.2523)"
130104494,W  6TH                          ST,OLIVE                        ST,"(34.0481, -118.2542)"
130104499,3RD,BROADWAY,"(34.051, -118.248)"
101004412,ORION,MOORPARK,"(34.1557, -118.4697)"
130104533,5TH                          ST,SAN PEDRO,"(34.0442, -118.2439)"
130104582,7TH,FLOWER,"(34.0487, -118.2588)"
130104586,7TH                          ST,BROADWAY,"(34.0452, -118.2534)"
130104614,6TH,OLIVE,"(34.0481, -118.2542)"
130104627,8TH,OLIVE,"(34.0452, -118.2569)"
130104669,MATEO,INDUSTRIAL,"(34.0352, -118.2323)"
130104679,ALAMEDA,6TH                          ST,"(34.0382, -118.2384)"
130104694,OLYMPIC,SANTEE,"(34.0386, -118.2544)"
130104708,6TH,SAN JULIAN,"(34.0423, -118.2452)"
130104731,5TH                          ST,MAIN                         ST,"(34.0464, -118.248)"
130104845,5TH                          ST,MAIN                         ST,"(34.0464, -118.248)"
130104878,HOPE                         ST,VENICE                       BL,"(34.0365, -118.2676)"
130104889,5TH,MAIN                         ST,"(34.0464, -118.248)"
130105026,6TH,HILL                         ST,"(34.0474, -118.2531)"
130105027,4TH,WALL                         ST,"(34.0458, -118.243)"
130105052,VENICE                       BL,WRIGHT                       ST,"(34.0388, -118.2731)"
130105100,BEAUDRY,BARTLETT,"(34.0658, -118.2476)"
130105106,6TH,MAPLE,"(34.0435, -118.2471)"
130105111,WALL,WINSTON,"(34.0455, -118.2452)"
130105144,4TH,HILL                         ST,"(34.0503, -118.2504)"
130105149,7TH,GRAND                        AV,"(34.0473, -118.2566)"
130105169,BUNKER HILL,CESAR E CHAVEZ,"(34.0626, -118.2445)"
130105173,3RD                          ST,FLOWER,"(34.0544, -118.2535)"
130105199,5TH,SAN PEDRO                    ST,"(34.0435, -118.2427)"
130105217,4TH,FLOWER,"(34.053, -118.2548)"
130105261,PICO                         BL,OLIVE,"(34.0381, -118.2629)"
130105267,FREMONT,TEMPLE,"(34.0607, -118.2494)"
130105356,5TH,SAN PEDRO                    ST,"(34.0442, -118.2439)"
130105363,12TH                         ST,FIGUEROA,"(34.0423, -118.2678)"
130105365,LOS ANGELES,12TH                         ST,"(34.037, -118.2583)"
130105394,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)"
130105442,5TH                          ST,SAN PEDRO                    ST,"(34.0435, -118.2427)"
130105451,STANFORD                     ST,7TH                          ST,"(34.039, -118.2444)"
130105480,CESAR E CHAVEZ,SPRING,"(34.0582, -118.2387)"
101011499,WOODLEY,VICTORY,"(34.1867, -118.4837)"
101020943,BURBANK,YOLANDA,"(34.1724, -118.5407)"
130105551,5TH                          ST,SPRING                       ST,"(34.0474, -118.2496)"
130105566,6TH,MAPLE                        AV,"(34.0435, -118.2471)"
130105583,2ND                          ST,ALAMEDA                      ST,"(34.0472, -118.2381)"
130105678,7TH,FLOWER,"(34.0487, -118.2588)"
130105695,5TH,TOWNE                        AV,"(34.0426, -118.2412)"
130105741,WINSTON,MAIN,"(34.0471, -118.2473)"
130105756,2ND,MAIN,"(34.0503, -118.2433)"
130105778,5TH                          ST,WALL                         ST,"(34.0446, -118.245)"
130105809,8TH                          ST,BROADWAY,"(34.0438, -118.2547)"
130105870,7TH,CERES,"(34.0377, -118.2425)"
130105936,ELMYRA,N  SPRING                       ST,"(34.0661, -118.2334)"
130105943,5TH,BROADWAY,"(34.0481, -118.2507)"
130105955,6TH,MAPLE,"(34.0435, -118.2471)"
130105993,6TH,GRAND                        AV,"(33.7735, -118.1481)"
130106018,BROADWAY,5TH                          ST,"(34.0467, -118.252)"
130106037,HOPE,WASHINGTON,"(34.0333, -118.2697)"
130106042,6TH                          ST,SAN JULIAN,"(34.0423, -118.2452)"
130106044,4TH                          ST,MAIN                         ST,"(34.0478, -118.2467)"
130106097,4TH                          ST,HILL                         ST,"(34.0503, -118.2504)"
130106099,HILL                         ST,8TH                          ST,"(34.0445, -118.2558)"
130106108,MAPLE                        AV,6TH                          ST,"(34.0439, -118.2479)"
130106113,SPRING                       ST,7TH                          ST,"(34.0431, -118.2536)"
130106146,6TH                          ST,WALL                         ST,"(34.0435, -118.2471)"
130106214,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)"
130106277,7TH                          ST,MAPLE                        AV,"(34.0419, -118.2485)"
101121210,GLENFELIZ,LOS FELIZ,"(34.1235, -118.2685)"
130106340,7TH,MAIN,"(34.0433, -118.2504)"
130106351,5TH,OLIVE,"(33.773, -118.1824)"
130106353,2ND,HILL,"(34.0531, -118.2478)"
130106400,SAN PEDRO,6TH,"(34.0423, -118.2452)"
130106401,ELYSIAN PARK,SUNSET,"(34.0725, -118.251)"
130106413,5TH                          ST,SAN JULIAN                   ST,"(34.0446, -118.245)"
130106425,5TH,SAN PEDRO,"(34.0442, -118.2439)"
130106434,LOS ANGELES,7TH                          ST,"(34.0433, -118.2504)"
130106435,7TH,FLOWER,"(34.0487, -118.2588)"
130106436,OLYMPIC,SANTEE,"(34.0386, -118.2544)"
130106440,FLOWER                       ST,OLYMPIC                      BL,"(34.0444, -118.2628)"
102110308,TOPANGA CANYON,LEADWELL,"(34.2038, -118.606)"
102114186,VENTURA,DE SOTO,"(34.1664, -118.5883)"
130106441,FLOWER,6TH                          ST,"(34.0494, -118.2581)"
130106442,LOS ANGELES                  ST,7TH                          ST,"(34.0433, -118.2504)"
130106489,FIGUEROA                     ST,17TH                         ST,"(34.0364, -118.2707)"
130106496,9TH,SAN JULIAN,"(34.0373, -118.2503)"
130106504,ALPINE,MAIN                         ST,"(34.0613, -118.2352)"
130106583,HILL,OLYMPIC,"(34.0416, -118.2584)"
130106605,6TH                          ST,BROADWAY,"(34.0467, -118.252)"
130106623,7TH,KOHLER                       ST,"(34.0372, -118.2418)"
130106646,1ST                          ST,ALISO,"(34.0527, -118.2398)"
130106661,5TH                          ST,SAN PEDRO,"(34.0435, -118.2427)"
130106667,12TH                         ST,FIGUEROA,"(34.0423, -118.2678)"
130106707,7TH                          ST,MAPLE                        ST,"(34.0419, -118.2485)"
130106770,6TH,WALL,"(34.0428, -118.2461)"
130106777,7TH                          ST,FLOWER,"(34.0487, -118.2588)"
130106793,6TH,SAN JULIAN,"(34.0423, -118.2452)"
130106827,6TH                          ST,CENTRAL,"(34.0382, -118.2384)"
130106838,4TH                          ST,HILL                         ST,"(34.0503, -118.2506)"
130106839,HILL                         ST,4TH                          ST,"(34.0503, -118.2504)"
130106846,6TH                          ST,SAN JULIAN                   ST,"(34.0423, -118.2452)"
130106852,SPRING,TEMPLE,"(34.0549, -118.2426)"
130106890,7TH,CENTRAL,"(34.0364, -118.2406)"
130106902,OLYMPIC                      BL,LOS ANGELES                  ST,"(34.0389, -118.255)"
130106907,7TH                          ST,WALL                         ST,"(34.0412, -118.2474)"
130106928,7TH,MAPLE                        AV,"(34.0419, -118.2485)"
130106929,7TH                          ST,MAPLE                        AV,"(34.0419, -118.2485)"
130106937,4TH,HILL                         ST,"(34.0503, -118.2504)"
130107009,BROADWAY,6TH                          ST,"(34.0166, -118.4917)"
130107016,7TH                          ST,MAPLE,"(34.0419, -118.2485)"
101119991,SUNSET,EDGEMONT,"(34.0982, -118.2961)"
130107099,7TH                          ST,SAN PEDRO,"(34.0407, -118.2468)"
130107105,HILL                         ST,OLYMPIC,"(34.0416, -118.2584)"
130107106,HILL                         ST,OLYMPIC,"(34.0416, -118.2584)"
130107107,HILL                         ST,OLYMPIC,"(34.0416, -118.2584)"
130107108,HILL                         ST,OLYMPIC,"(34.0416, -118.2584)"
130107109,HILL                         ST,OLYMPIC,"(34.0416, -118.2584)"
130107121,4TH,CROCKER,"(34.0444, -118.2407)"
130107136,5TH,SAN JULIAN,"(34.0446, -118.245)"
130107165,4TH,HILL,"(34.0503, -118.2504)"
130107195,3RD,HILL,"(34.0518, -118.2493)"
130107258,HILL,OLYMPIC,"(34.0416, -118.2584)"
130107274,7TH,ALAMEDA,"(34.035, -118.2386)"
130107296,7TH                          ST,MAIN                         ST,"(34.0433, -118.2504)"
130107340,5TH,SAN JULIAN,"(34.0446, -118.245)"
130107346,FIGUEROA,3RD                          ST,"(34.055, -118.2546)"
130107362,CESAR E CHAVEZ,SPRING                       ST,"(34.0582, -118.2387)"
130107367,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)"
130107389,5TH,SAN JULIAN,"(34.0446, -118.245)"
130107397,5TH                          ST,BROADWAY,"(34.0481, -118.2507)"
130107412,FLOWER                       ST,OLYMPIC                      BL,"(34.0444, -118.2628)"
130107415,HILL                         ST,1ST                          ST,"(34.0565, -118.2445)"
130107441,HOPE,PICO,"(34.0391, -118.2659)"
130107474,5TH,SPRING,"(34.0478, -118.2502)"
130107487,1ST,HILL,"(34.0544, -118.2466)"
130107496,HOPE,VENICE,"(34.0365, -118.2676)"
130107556,5TH                          ST,BROADWAY,"(34.0481, -118.2507)"
130107568,3RD                          ST,CENTRAL                      AV,"(34.0455, -118.2381)"
130107573,5TH,WALL,"(34.0449, -118.2458)"
130107632,HOPE,PICO,"(34.0395, -118.2656)"
130107643,7TH,SAN JULIAN,"(34.0407, -118.2468)"
130107669,12TH,LOS ANGELES                  ST,"(34.0366, -118.2578)"
130107670,12TH,LOS ANGELES                  ST,"(34.0366, -118.2578)"
130107672,11TH                         ST,MAPLE                        AV,"(34.0371, -118.2551)"
130107673,FIGUEROA,VENICE                       BL,"(34.0375, -118.27)"
130107677,5TH,WALL                         ST,"(34.0446, -118.245)"
130107678,5TH,WALL                         ST,"(34.0446, -118.245)"
130107693,12TH                         ST,FLOWER,"(34.0415, -118.2654)"
130107767,7TH                          ST,FLOWER,"(34.0487, -118.2588)"
130107775,SAN JULIAN,6TH                          ST,"(34.0428, -118.2461)"
130107785,6TH                          ST,MAPLE,"(34.0435, -118.2471)"
130107824,7TH                          ST,FLOWER,"(34.0487, -118.2588)"
130107839,3RD,WALL,"(34.048, -118.2438)"
130107851,TEMPLE                       ST,HOPE,"(34.059, -118.2474)"
130107859,5TH                          ST,LOS ANGELES,"(34.0454, -118.2466)"
130107868,5TH                          ST,SAN PEDRO                    ST,"(34.0435, -118.2427)"
130107877,7TH                          ST,ALAMEDA,"(34.0349, -118.2386)"
130107909,5TH,WALL                         ST,"(34.0449, -118.2458)"
130107916,4TH,STANFORD,"(34.0439, -118.2399)"
130107924,9TH                          ST,MAIN                         ST,"(34.0411, -118.2545)"
130107944,9TH                          ST,SAN PEDRO                    ST,"(34.0373, -118.2503)"
130107945,9TH                          ST,SAN PEDRO                    ST,"(34.0373, -118.2503)"
130107986,6TH                          ST,GLADYS,"(34.0398, -118.2413)"
130108052,7TH,MAPLE,"(34.0419, -118.2485)"
130108061,6TH,SAN PEDRO,"(34.0417, -118.2443)"
130108103,HILL                         ST,8TH                          ST,"(34.0445, -118.2558)"
130108111,4TH                          ST,HILL                         ST,"(34.0019, -118.4794)"
130108128,6TH,GLADYS,"(34.0398, -118.2413)"
130108244,5TH                          ST,WALL                         ST,"(34.0446, -118.245)"
130108302,HILL                         ST,VENICE                       BL,"(34.0347, -118.2645)"
130108309,3RD                          ST,BROADWAY,"(34.051, -118.248)"
130108356,SAN JULIAN                   ST,6TH                          ST,"(34.0428, -118.2461)"
130108373,6TH                          ST,CERES,"(34.0394, -118.2405)"
130108376,RAMIREZ,VIGNES,"(34.0552, -118.2322)"
130108384,5TH                          ST,TOWNE,"(34.0426, -118.2412)"
130108385,7TH                          ST,MAPLE,"(34.0419, -118.2485)"
130108432,SAN JULIAN                   ST,6TH                          ST,"(34.0428, -118.2461)"
130108446,6TH,BROADWAY,"(34.0467, -118.252)"
130108502,6TH,GLADYS,"(34.0398, -118.2413)"
100101421,WALL,OLYMPIC                      BL,"(34.0376, -118.2531)"
100101422,OLYMPIC,WALL,"(34.0369, -118.2522)"
130108550,7TH,CENTRAL,"(34.0364, -118.2406)"
130108580,5TH                          ST,LOS ANGELES                  ST,"(34.0461, -118.2476)"
130108582,7TH                          ST,HOPE                         ST,"(34.048, -118.2577)"
130108590,PICO,SANTEE,"(34.0349, -118.2577)"
130108629,9TH,FIGUEROA,"(34.0468, -118.2641)"
130108636,11TH,OLIVE                        ST,"(34.0409, -118.2609)"
130108668,5TH                          ST,SPRING,"(34.0478, -118.2502)"
130108703,6TH,SAN PEDRO                    ST,"(34.0417, -118.2443)"
130108706,5TH,SAN JULIAN                   ST,"(34.0446, -118.245)"
130108724,4TH,HEWITT                       ST,"(34.0436, -118.2354)"
130108743,BROADWAY,5TH,"(34.0481, -118.2507)"
130108744,LOS ANGELES                  ST,3RD                          ST,"(34.0485, -118.2447)"
130108795,7TH,HILL,"(34.0459, -118.2545)"
130108799,BROADWAY,CESAR E CHAVEZ,"(34.0604, -118.2393)"
130108816,BROADWAY,ORD,"(34.0623, -118.2383)"
130108818,4TH                          ST,FLOWER,"(34.053, -118.2548)"
130108822,LOS ANGELES                  ST,ARCADIA                      ST,"(34.0553, -118.2391)"
130108871,6TH,SAN JULIAN                   ST,"(34.0423, -118.2452)"
130108879,BOYD,LOS ANGELES                  ST,"(34.0472, -118.2442)"
130108898,FRANCISCO,JAMES M WOOD,"(34.0469, -118.2644)"
130108906,6TH                          ST,WALL                         ST,"(34.0435, -118.2471)"
130108916,6TH                          ST,STANFORD,"(34.0403, -118.2421)"
130108951,6TH                          ST,WALL,"(34.0428, -118.2461)"
130108952,6TH                          ST,WALL,"(34.0428, -118.2461)"
130108970,ALAMEDA                      ST,MAIN,"(34.0593, -118.2368)"
130108972,BROADWAY,CESAR E CHAVEZ,"(34.0604, -118.2393)"
130108999,8TH,MAIN,"(34.0423, -118.2527)"
130109074,7TH,FLOWER,"(34.0487, -118.2588)"
130109084,FLOWER,WASHINGTON                   BL,"(34.0338, -118.2708)"
130109100,7TH                          ST,MAIN                         ST,"(34.0433, -118.2504)"
130109101,11TH                         ST,GRAND                        AV,"(34.0416, -118.262)"
130109109,1ST,SPRING,"(34.053, -118.2444)"
130109112,11TH,FIGUEROA,"(34.0442, -118.268)"
130109113,11TH,FIGUEROA,"(34.0442, -118.268)"
130109114,11TH,FIGUEROA,"(34.0442, -118.268)"
130109139,3RD,WALL,"(34.048, -118.2438)"
130109225,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)"
130109255,7TH                          ST,FLOWER,"(34.0487, -118.2588)"
130109267,7TH,SAN JULIAN                   ST,"(34.0407, -118.2468)"
130109269,5TH,BROADWAY,"(34.0481, -118.2507)"
130109274,HOPE                         ST,PICO                         BL,"(34.0391, -118.2659)"
130109305,7TH                          ST,SAN PEDRO,"(34.0401, -118.2459)"
130109308,FLOWER,PICO,"(34.0396, -118.2671)"
130109321,6TH                          ST,SAN PEDRO,"(34.0423, -118.2452)"
130109324,WALL,WINSTON,"(34.0455, -118.2452)"
130109325,WALL,WINSTON,"(34.0455, -118.2452)"
130109339,4TH,SPRING,"(34.0488, -118.2483)"
130109384,5TH,TOWNE,"(34.0426, -118.2412)"
130109396,7TH                          ST,MILL,"(34.0347, -118.2345)"
130109399,7TH                          ST,BROADWAY,"(34.0452, -118.2534)"
130109452,VIGNES,BAUCHET,"(34.0589, -118.2323)"
130109467,FIGUEROA,OLYMPIC,"(34.045, -118.2628)"
130109473,LOS ANGELES                  ST,PICO,"(34.0357, -118.2593)"
130109481,5TH                          ST,FLOWER                       ST,"(34.0516, -118.2561)"
130109510,12TH,BROADWAY,"(34.0382, -118.2603)"
130109518,CESAR E CHAVEZ               AV,BROADWAY,"(34.0586, -118.2402)"
130109602,7TH,BROADWAY,"(34.0452, -118.2534)"
130109531,5TH,TOWNE,"(34.0426, -118.2412)"
130109532,5TH,SAN JULIAN,"(34.0446, -118.245)"
130109566,5TH                          ST,WALL,"(34.0446, -118.245)"
130109572,LOS ANGELES                  ST,6TH                          ST,"(34.0446, -118.249)"
130109619,5TH                          ST,HILL,"(34.0488, -118.2518)"
130109628,6TH                          ST,SAN PEDRO,"(34.0417, -118.2443)"
130109637,OLYMPIC,MAIN,"(34.0396, -118.2558)"
130109672,5TH                          ST,CROCKER                      ST,"(34.043, -118.242)"
130109674,1ST,SPRING                       ST,"(34.053, -118.2444)"
130109675,1ST,SPRING                       ST,"(34.053, -118.2444)"
130109677,HILL                         ST,WASHINGTON                   BL,"(34.032, -118.2657)"
130109709,5TH                          ST,MAIN                         ST,"(34.3767, -118.5263)"
130109710,PICO                         BL,FIGUEROA,"(34.0407, -118.268)"
130109712,LOS ANGELES                  ST,ALAMEDA                      ST,"(34.0563, -118.2374)"
130109739,ALPINE,HILL                         ST,"(34.0628, -118.2395)"
130109764,5TH,SAN JULIAN,"(34.0446, -118.245)"
130109771,5TH                          ST,WALL                         ST,"(34.0449, -118.2458)"
130109798,6TH                          ST,SAN JULIAN,"(34.0423, -118.2452)"
130109920,TOWNE                        ST,5TH                          ST,"(34.043, -118.242)"
130109949,LOS ANGELES                  ST,ARCADIA,"(34.0553, -118.2391)"
130109953,SANTA FE                     AV,6TH                          ST,"(34.0384, -118.2305)"
130109963,HOPE,WASHINGTON                   BL,"(34.0333, -118.2697)"
130109984,WASHINGTON,GRAND,"(34.0327, -118.2683)"
130110051,OLIVE,5TH,"(34.0495, -118.2529)"
130110055,15TH                         ST,MAIN,"(34.034, -118.2615)"
130110056,9TH                          ST,WALL,"(34.0381, -118.2511)"
130110061,CESAR E CHAVEZ               AV,VIGNES,"(34.0566, -118.2319)"
130110095,5TH                          ST,SAN JULIAN                   ST,"(34.0446, -118.245)"
130110112,5TH                          ST,LOS ANGELES                  ST,"(34.0454, -118.2466)"
130110115,SAN PEDRO                    ST,7TH                          ST,"(34.0407, -118.2468)"
130110184,4TH,FLOWER,"(34.053, -118.2548)"
130110283,FIGUEROA,WASHINGTON                   BL,"(34.0344, -118.2714)"
130110300,7TH                          ST,MAIN                         ST,"(34.0433, -118.2504)"
130110317,ALAMEDA,ALISO,"(34.0538, -118.2379)"
130110321,RAMIREZ                      ST,VIGNES,"(34.0552, -118.2322)"
130110365,5TH                          ST,BROADWAY,"(34.0481, -118.2507)"
130110373,6TH,BROADWAY,"(34.0467, -118.252)"
130110414,GRAND,OLYMPIC,"(34.043, -118.2606)"
130110415,6TH,STANFORD,"(34.0408, -118.2428)"
130110444,5TH,TOWNE,"(34.0426, -118.2412)"
130110445,6TH,CROCKER,"(34.0412, -118.2436)"
130110458,6TH,OLIVE,"(34.0481, -118.2542)"
130110464,BROADWAY,8TH,"(34.0438, -118.2547)"
130110478,4TH,HILL,"(34.0503, -118.2506)"
130110553,5TH,WALL,"(34.0446, -118.245)"
130110554,5TH,WALL,"(34.0446, -118.245)"
130110575,9TH,FIGUEROA                     ST,"(34.0468, -118.2641)"
130110623,INDUSTRIAL,KOHLER,"(34.0374, -118.2406)"
130110626,5TH,BROADWAY,"(34.0481, -118.2507)"
130110637,ALPINE,CLEVELAND,"(34.0635, -118.2416)"
130110659,LOS ANGELES                  ST,ALAMEDA                      ST,"(34.0563, -118.2374)"
130110736,HILL,ORD,"(34.0628, -118.2395)"
130110752,MAPLE,OLYMPIC,"(34.0383, -118.254)"
130110803,5TH,SAN PEDRO,"(34.0442, -118.2439)"
130110833,6TH,SAN JULIAN,"(34.0423, -118.2452)"
130110850,5TH,SAN PEDRO,"(34.0442, -118.2439)"
130110857,3RD,BROADWAY,"(34.051, -118.248)"
130110860,5TH,SAN JULIAN,"(34.0446, -118.245)"
130110863,6TH,SAN PEDRO,"(34.0417, -118.2443)"
130110881,6TH,CERES,"(34.0394, -118.2405)"
130110887,9TH,SANTEE,"(34.0395, -118.2527)"
130110927,4TH                          ST,SAN PEDRO,"(34.0454, -118.2422)"
130110959,6TH                          ST,MAPLE,"(34.0435, -118.2471)"
130111006,LOS ANGELES,WINSTON                      ST,"(34.0467, -118.247)"
130111010,5TH                          ST,CROCKER                      ST,"(34.043, -118.242)"
130111025,SAN PEDRO                    ST,6TH                          ST,"(34.0423, -118.2452)"
130111030,5TH                          ST,SAN JULIAN,"(34.0446, -118.245)"
130111037,5TH                          ST,WALL                         ST,"(34.0446, -118.245)"
130111084,SUNSET                       BL,FIGUEROA                     ST,"(34.0627, -118.2463)"
130111088,1ST                          ST,SAN PEDRO,"(34.0504, -118.2409)"
130111220,6TH,SAN PEDRO,"(34.0423, -118.2452)"
130111245,7TH,SAN JULIAN,"(34.0407, -118.2468)"
130111248,7TH,KOHLER,"(34.0372, -118.2418)"
130111267,12TH                         ST,FLOWER,"(34.0415, -118.2654)"
130111295,7TH,SAN JULIAN                   ST,"(34.0407, -118.2468)"
130111316,7TH,BROADWAY,"(34.0452, -118.2534)"
130111321,HILL,OLYMPIC,"(34.0416, -118.2584)"
130111401,5TH                          ST,MAIN                         ST,"(34.3767, -118.5263)"
130111423,7TH                          ST,FLOWER,"(34.0487, -118.2588)"
130111428,5TH                          ST,BROADWAY,"(34.0481, -118.2507)"
130111491,5TH                          ST,OLIVE                        ST,"(34.0495, -118.2529)"
130111500,6TH                          ST,MAIN                         ST,"(34.0446, -118.249)"
130111508,5TH                          ST,SAN JULIAN                   ST,"(34.0446, -118.245)"
130111510,LOS ANGELES                  ST,ALAMEDA,"(34.0563, -118.2374)"
